active,location_id,location_name,location_name_fr,operated_by,operated_by_fr,city,address,address_fr,postal_code,province,latitude,longitude,phu_id,PHU,phone,website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,after_hours,appointments,walk_ins,drive_through,children_under_2,accessible,temporarily_closed,pharmacy,community_lab,assessment_centre,email,online_appointments,phone_appointments,symptomatic,general_population,age_threshold,weeks_pregnant,french_language_services,asl_interpretation,first_nations,free_parking,paid_parking,public_transit,additional_information,additional_information_fr
Yes,12,Orillia Soldiers' Memorial Hospital,Hospital Soldiers' Memorial d'Orillial,Orillia Soldiers' Memorial Hospital,Hospital Soldiers' Memorial d'Orillial,Orillia,100 University Avenue,,"L3V 6H2

",ON,44.589157,-79.455401,2,Simcoe Muskoka District Health Unit,888-589-4109,https://www.osmh.on.ca/covid-19/,11:00-18:30,11:00-18:30,11:00-18:30,11:00-18:30,11:00-18:30,11:00-14:30,11:00-14:30,,Yes,No ,No,,Yes,,,,Yes,,https://outlook.office365.com/owa/calendar/COVIDAssessment@osmh.on.ca/bookings/,,Yes,Yes,0m,,No,No,Yes,Yes,,Yes,"Appointments can also be booked by calling 1-888-589-4109 from 8 am to 4 pm.

https://www.osmh.on.ca/covid-19/

Do not enter Rotary Place at the main entrance. Follow the signs and access the Assessment Centre through the dedicated entrance at the side of the building.  Please follow the directions for exiting the building.

",
Yes,13,Barrie Community Health Centre,Barrie Community Health Centre,Barrie Community Health Centre,Barrie Community Health Centre,Barrie,490 Huronia Road,490 chemin Huronia,L4N 6M2,ON,44.34716,-79.665693,2,Simcoe Muskoka District Health Unit,,https://barriehealth.ca/,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,,,,Yes,No ,No,,Yes,,,,Yes,,https://v2.waitwhile.com/book/barriecovidtesting,,Yes,,0m,,No,No,,Yes,,Yes,"Located in the rear building behind the Huronia Urgent Care Clinic.
https://v2.waitwhile.com/book/barriecovidtesting",
Yes,14,Southlake Regional Health Centre,Southlake Regional Health Centre,Southlake Regional Health Centre,Southlake Regional Health Centre,Newmarket,474 Davis Drive,474 chemin Davis,L3Y 2P3,ON,44.05929,-79.458347,5,York Region Public Health Services,289-803-2199,https://southlake.ca/,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,,Yes,Yes,No,,Yes,,,,Yes,,,TRUE,Yes,,0m,,Yes,Yes,,,Yes,Yes,The assessment centre is located in the Town of Newmarket’s Seniors’ Meeting place. Park at the rear of the building follow signs to entrance.  Call 289-803-2199 to book an appointment.,
Yes,15,Stevenson Memorial Hospital,Hospital Stevenson Memorial,Stevenson Memorial Hospital,Hospital Stevenson Memorial,Alliston,200 Fletcher Crescent,200 Fletcher Crescent,L9R 1W7,ON,44.155578,-79.875078,2,Simcoe Muskoka District Health Unit,249-501-0383,http://www.stevensonhospital.ca/news/index.html?id=265,09:00-17:00,,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No ,Yes,No,Yes,,,,Yes,,,,Yes,,2y,,No,No,,,Yes,No,"Please call 249-501-0383 to book an appointment. 
Drive-through centre located in the back parking lot.",
Yes,16,Mississauga Hospital - Clinical Administrative Building,,Trillium Health Partners ,Trillium Health Partners ,Mississauga,15 Bronte College Court,15 Bronte College Court,L5B 1M9,ON,43.572542,-79.60644,6,Peel Public Health,,trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere ,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,,Yes,No ,No,,Yes,,,,Yes,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere ,,Yes,,1y,,No,No,,Yes,,Yes,,
Yes,17,Credit Valley – Drive-Thru,Hospital Credit Valley - Drive-Thru,Trillium Health Partners,Trillium Health Partners,Mississauga,2200 Eglinton Avenue West,2200 chemin Eglinton Ouest,L5M 2N1,ON,43.558655,-79.703279,6,Peel Public Health,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,,Yes,No ,Yes,No,Yes,,,,Yes,,http://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,Yes,,18y,,Yes,No,,Yes,,Yes,"
Drive-through only.",
Yes,19,William Osler Health System - Etobicoke COVID 19 Testing Centre,,William Osler Health System,William Osler Health System,Etobicoke,101 Humber College Boulevard,,M9V 1R8,ON,43.729001,-79.597572,6,Toronto Public Health,905-487-1249,https://www.williamoslerhs.ca/coronavirus,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,Yes,No ,No,,Yes,,,,Yes,,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/covid-19-booking,,Yes,,,,No,No,,Yes,,Yes,"Book appointments online at www.williamoslerhs.ca/coronavirus or call 905-487-1249 during 8:00 am to 6:00 pm,
 7 days a week.",
Yes,20,William Osler Health System - Brampton COVID 19 Testing Centre,,William Osler Health System,William Osler Health System,Brampton,20 Lynch Street,,L6Y 5B3,ON,43.652793,-79.735957,6,Peel Public Health,905-487-1249,https://www.williamoslerhs.ca/coronavirus,08:00- 18:00,08:00- 18:00,08:00- 18:00,08:00- 18:00,08:00- 18:00,08:00-18:00,08:00- 18:00,,Yes,No ,No,,Yes,,,,Yes,,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/covid-19-booking,,Yes,,2y,,No,No,,Yes,,Yes,"Book appointments online at www.williamoslerhs.ca/coronavirus or call 905-487-1249 during 8:00 am to 6:00 pm,
 7 days a week.",
Yes,21,Almonte General Hospital,Hospital gosnosral d'Almonte,Almonte General Hospital,Hospital gosnosral d'Almonte,Almonte,75 Spring Street,,K0A 1A0,ON,45.228961,-76.189452,7,"Leeds, Grenville and Lanark District Health Unit",613-325-1208,http://www.almontegeneral.com/assessmentcentre,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,,Yes,No,Yes,No,Yes,,,,Yes,,,,Yes,,2y,,No,No,,Yes,,No,"Located at the corner of Spring Street and State Street in the brick building behind Almonte General Hospital's Emergency Department.



Please call to schedule an appointment and leave a message if needed. One of the clinic nurses will call back with an appointment time. Parking is available at the Centre.&nbsp; 

",
Yes,22,Brockville General Hospital,Hospital gosnosral de Brockville,Brockville General Hospital,Hospital gosnosral de Brockville,Brockville,100 Magedoma Boulevard,100 boul. Magedoma,K6V 7J5,ON,44.610024,-75.699937,7,"Leeds, Grenville and Lanark District Health Unit",613-704-1441,https://www.brockvillegeneralhospital.ca/en/patient-care/covid-19-coronavirus.aspx#,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-14:30,10:00-14:30,,Yes,Yes,No,Yes,Yes,,,,Yes,,,,Yes,,0m,,No,No,,Yes,,,,
Yes,23,"COVID-19 CHEO Assessment Centre for Infants, Children and Youth at Brewer Park Arena",,CHEO,CHEO,Ottawa,151 Brewer Way,151 chemin Brewer Way,K1S 5T1,ON,45.389239,-75.690478,8,Ottawa Public Health,613-737-7600 ext. 6720,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-15:30,08:30-15:30,08:30-15:30,,Yes,Yes,No,Yes,Yes,,,,Yes,,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Click-here-to-learn-more-and-book-an-appointment,TRUE,Yes,,6m,,Yes,No,,Yes,,Yes,"PEDIATRIC
Can test anyone 2months to 18 years of age by appointment. 
Follow the signage for parking. Enter from Bronson Avenue.
Free parking available
Near public transit
French-language services available
Accommodates wheelchairs and mobility devices",
Yes,24,COVID-19 Assessment Centre for Adults at Brewer Park Arena,,The Ottawa Hospital,L'Hospital d'Ottawa,Ottawa,151 Brewer Way,151 chemin Brewer Way,K1S 5T1,ON,45.389239,-75.690478,8,Ottawa Public Health,613-737-8193,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-15:30,08:30-15:30,08:30-15:30,,Yes,Yes,No,Yes,Yes,,,,Yes,,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Click-here-to-learn-more-and-book-an-appointment,TRUE,Yes,,2m,,Yes,No,,Yes,,Yes,"Follow the signage for parking. Enter from Bronson Avenue.
18 years and older: by appointment
Free parking available
Near public transit
French-language services available
Accommodates wheelchairs and mobility devices",
Yes,25,Cornwall COVID-19 Assessment Centre,Cornwall - Centre d’osvaluation pour la COVID-19,Cornwall Community Hospital,Hospital communautaire de Cornwall,Cornwall,850 McConnell Avenue,850 avenue McConnell,K6H 4M3,ON,45.030101,-74.717964,9,Eastern Ontario Health Unit,343-475-0160,https://eohu.ca/en/covid/covid-19-testing-assessment-centres    ,08:00-20:00,08:00-16:00,08:00-16:00,08:00-20:00,08:00-16:00,08:00-16:00,,,Yes,No,No,Yes,Yes,,,,Yes,,,,Yes,,0m,,Yes,No,,Yes,,Yes,Park in a designated area in the Emergency Lot: Parking is free. Arrive at the exact time of your appointment (not earlier). Please wait outside and someone will greet you at the door. Bring only a health card and mask.,
Yes,26,Akausivik Inuit Family Health Team - COVID-19 Assessment Centre ,Akausivik Inuit Family Health Team -Centre d'o�valuation de la COVID-19 ,Akausivik Inuit Family Health Team,Akausivik Inuit Family Health Team,Ottawa,"24 Selkirk Street, Suite 300",24 rue Selkirk,K1L 0A4,ON,45.431716,-75.667688,8,Ottawa Public Health,613-740-0999,https://eohu.ca/en/covid-19-novel-coronavirus,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No ,No,,,,,,Yes,generalinfo@aifht.ca,,,Yes,,0m,,,,Yes,,,,,
Yes,27,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton,7217 Gelert Road,7217 chemin Gelert,K0M 1S0,ON,45.039054,-78.528165,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",705-457-1212 ext. 6,https://www.haliburtoncares.ca/,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-15:00,,,,Yes,No,No,,Yes,,,,Yes,,,,Yes,,2y,,No,No,,Yes,,Yes,"Located in the parking lot of the Haliburton Family Medical Centre. Enter from Haliburton County Road 21, on the roadway beside the high school. Patients under 2 years will be deferred to the Emergency dDepartment. Patients between 2 and 18 will be reviewed with the assessment centre physician before booking an appointment.","Situos dans le stationnement du Haliburton Family Medical Centre. Entrez o� partir de la route de comtos 21 o� Haliburton, sur la voie d’acco�s derrio�re l’oscole secondaire."
Yes,28,Hawkesbury COVID-19 Assessment Centre,Hawkesbury- Centre d’osvaluation pour la COVID-19,Hawkesbury General Hospital,Hawkesbury General Hospital,Hawkesbury,750 Laurier Street,750 rue Laurier,K6A 3N9,ON,45.603834,-74.598607,9,Eastern Ontario Health Unit,613-632-1111 ext. 53800,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,Yes,No,No,Yes,,,,Yes,,https://epicapps.toh.ca/mychart/openscheduling ,,Yes,,2y,,Yes,Yes,,Yes,,No,"Vulnerable clients and clients with cancer can get tested before opening times. If you do not have internet access or need assistance with the appointment system, call 613-632-1111, ext. 53800.","Sur rendez-vous seulement

Si vous n’avez pas acco�s o� internet ou que vous avez besoin d’aide avec le systo�me de rendez-vous, composez le 613-632-1111, poste 53800.

"
,29,Casselman COVID-19 Testing Centre,Casselman - Centre d’osvaluation pour la COVID-19,Eastern Ontario Health Unit,,Casselman,872 Principale Street,872 rue Principale,K0A 1M0,ON,45.321488,-75.106032,9,Eastern Ontario Health Unit,800-267-8260,https://eohu.ca/fr/covid/covid-19-testing-assessment-centres ,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,,,,Yes,Yes,No,,Yes,Yes,,,Yes,,,,Yes,,1y,,Yes,No,,Yes,,No,"By appointment only. Please call 1-800-267-8260

NOTE: This site will be closed from January 11th to January 22nd 2021. 

Children must be at least 1 year old to get tested at this location
Accommodates wheelchairs and mobility devices
French Services available.
https://eohu.ca/en/covid/covid-19-testing-assessment-centres  ",
Yes,30,Rockland COVID-19 Assessment Centre,Rockland - Centre d’osvaluation pour la COVID-19,Clarence-Rockland Family Health Team,o�quipe de santos familiale Clarence-Rockland,Rockland,2741 Chamberland Street,2741 Chemin Chamberland,K4K 0B4,ON,45.544511,-75.301242,9,Eastern Ontario Health Unit,800-267-7120 ,https://eohu.ca/en/covid/covid-19-testing-assessment-centres  ,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,,,,Yes,No,No,No,,,,,Yes,,https://eohu.ca/fr/covid/covid-19-testing-assessment-centres,,Yes,,2y,,Yes,,,,,,,
Yes,31,COVID-19 Care and Testing Centre – Heron,Hospital Montfort - Heron Location,Hospital Montfort,Hospital Montfort,Ottawa,1485 Heron Road,1485 chemin Heron,K1V 6A6,ON,45.38042,-75.654826,8,Ottawa Public Health,613-746-4621,https://hopitalmontfort.com/en/second-covid-19-care-clinic-opening-ottawa-east-thursday,09:00-15:30,09:00-15:30,09:00-15:30,09:00-15:30,09:00-15:30,,,,Yes,Yes,No,,Yes,,,,Yes,,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Click-here-to-learn-more-and-book-an-appointment,,Yes,,6m,,Yes,No,,Yes,,Yes,,
Yes,32,Kingston Assessment Centre,Kingston Assessment Centre,Kingston Health Sciences Centre,Kingston Health Sciences Centre,Kingston,51 Heakes Lane,,K7M 9B1,ON,44.218676,-76.521757,11,"Kingston, Frontenac and Lennox & Addington Health Unit",613-548-2376,https://kingstonhsc.ca/patients-families-and-visitors/covid-19-information/community-assessment-centre,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,,Yes,No ,No,,Yes,,,,Yes,,https://kingstonhsc.ca/,TRUE,Yes,,6m,,Yes,No,,,Yes,Yes,"
To book an appointment by telephone please call 613-548-2376 (between 930 a.m. and 3:30 p.m.)
The Beechgrove Complex: Enter by turning south at the King St W and Portsmouth Ave intersection and follow the signage for walk in.
",
,33,Lakeridge Health - Oshawa,Lakeridge Health - Oshawa,Lakeridge Health,Lakeridge Health,Oshawa,1 Hospital Court,1 Hospital Court,L1G 2B9,ON,43.905529,-78.869215,12,Durham Region Health Department,,https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,,,,Yes,No,No,,Yes,Yes,,,Yes,,http://durhamcovidswab.lh.ca/,,Yes,,0m,,Yes,Yes,,,Yes,Yes,"Please complete the online registration form. Patients will be called or emailed with an appointment time. Yes there is a separate entrance leading into the Hospital, the clinic is located right near that entrance so no other population can access.  Parking is free for the first 30 minutes. We have interpretation services for most languages.  We also have swabbed patients in their cars if it is warranted.",
Yes,34,Lakeridge Health - Ajax Pickering,Lakeridge Health - Ajax Pickering,Lakeridge Health,Lakeridge Health,Ajax,580 Harwood Avenue South,580 avenue Harwood Sud,L1S 2J4,ON,43.836799,-79.017114,12,Durham Region Health Department,,https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,,Yes,No,No,No,Yes,,,,Yes,,http://covidswab.lh.ca,,Yes,,18y,,No,No,,No,Yes,Yes,Please complete the online registration form. Patients will be called or emailed with an appointment time. Separate building on hospital property.,
Yes,35,Lennox and Addington County General Hospital,Hospital gosnosral du comtos de Lennox and Addington,Lennox and Addington County General Hospital,Hospital gosnosral du comtos de Lennox and Addingtonl,Napanee,12 Richmond Park Drive,,K7R 2Z4,ON,44.24154935,-76.96730797,,"Kingston, Frontenac and Lennox & Addington Health Unit",613-354-8254,http://web.lacgh.napanee.on.ca/,08:30-15:30,08:30-15:30,09:00-15:00,08:30-15:30,09:00-15:00,08:30-15:30,09:00-15:00,,Yes,No ,Yes,,Yes,,,,Yes,,https://surveys.savience.com/s/LACOVIDPUBLIC/,TRUE,Yes,,0m,,No,No,,Yes,,Yes,"Located at the LACGH Westdale Campus.

You need to book an appointment by either 
- pre-registering online (https://CovidScreen.lacgh.napanee.on.ca) and waiting for a return contact with an appointment time; or, 
- calling (613) 354-8254.  If you reach the voicemail please leave message and your call will be returned with an appointment time.

Testing is done by drive thru only, however walk thru will be accommodated if you do not have a vehicle. When you arrive at your appointment time, please follow the signs for the drive thru and do not block the road.
",
Yes,36,Akwesasne COVID-19 Assessment Centre,Akwesasne - Centre d’osvaluation pour la COVID-19,Mohawk Council of Akwesasne Department of Health ,Mohawk Council of Akwesasne Department of Health ,Akwesasne,31 Hilltop Drive,31 chemin Hilltop,H0M 1A0,QC,44.999832,-74.654378,9,Eastern Ontario Health Unit,613-575-5005 ext. 3704 or 613-575-2331 ext. 3702,http://www.akwesasne.ca/covid-19-novel-coronavirus-information/,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,,,,Yes,No,Yes,No,Yes,,,,Yes,,,,Yes,No,2y,,,,Yes,,,,,
Yes,37,North Hastings COVID-19 Assessment Center,North Hastings COVID-19 Assessment Center,Quinte Healthcare Corporation,Quinte Healthcare Corporation,Bancroft,1 Manor Lane,1 Manor Lane,K0L 1C0,ON,45.055092,-77.864208,13,Hastings and Prince Edward Counties Health Unit,613-332-2825 ext. 6222,https://www.qhc.on.ca/covid-19.php,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,,,,Yes,No,Yes,,Yes,,,,Yes,,,,Yes,,0m,,Yes,No,,Yes,,No,"Follow the signs, drive through into the tent, have those being assessed or tested on the driver's side of the vehicle if possible, park and turn off the car with the windows between the two tables under the tent. Phone or text your phone number to us and we will call you back to book a time. You must have an appointment so we can ensure patient safety, confidentiality and physical distancing. ",
Yes,38,Perth and Smiths Falls District Hospital - Smiths Falls Site,Hospital du district de Perth et de Smiths Falls - Smiths Falls Site,Perth and Smiths Falls District Hospital ,Hospital du district de Perth et de Smiths Falls ,Smiths Falls,60 Cornelia Street West,60 rue Cornelia Ouest,K7A 2H9,ON,44.907454,-76.027508,7,"Leeds, Grenville and Lanark District Health Unit",613-283-2330 ext. 1401,https://psfdh.on.ca/2020/04/03/community-assessment-centre/,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,10:00-16:00,10:00-16:00,,Yes,No,No,No,,,,,Yes,,,,Yes,,0m,,,,,,,,Located at the Smiths Falls site of the Perth and Smiths Falls District Hospital at the main entrance on Elmsley Street North. Drive up to the main entrance and stay in your car while an in-car assessment is done. Please call to schedule an appointment after completing the self-assessment at https://covid-19.ontario.ca/self-assessment/. Children less than 3 months of age should present to the Emergency Department for assessment if symptomatic.,Situos o� l’emplacement de Smiths Falls de l’Hospital du district de Perth et de Smiths Falls o� l’entrose principale sur la rue Elmsley Nord. Les patients conduiront leur voshicule jusqu’o� l’entrose principale et y demeureront pendant qu’une osvaluation sera rosalisose.
Yes,39,Prince Edward Covid-19 Assessment Centre - Prince Edward Community Centre,Centre communautaire Prince Edward County,Prince Edward County Covid-19 Assessment Centre,Centre d'o�valuation de la COVID-19 Prince Edward,Picton,375 Main Street,375 rue Main,K0K 2T0,ON,44.008797,-77.139402,13,Hastings and Prince Edward Counties Health Unit,613-813-6864,https://www.qhc.on.ca/covid-19.php,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No,Yes,,Yes,,,,Yes,,,,Yes,,0m,,No,No,,Yes,,No,"To schedule an assessment phone the CAC at 613-813-6864

Upon arrival for your appointment you will be directed to drive into the large tent. Stay in your car for the assessment.

On Saturdays and Sundays, messages may be left to arrange an appointment the following week.  
Those requiring weekend testing may call 613-961-5544, for testing at the Belleville and Trenton Assessment Centres.",
